x,t,value
0.10101,0.042,-0.214633
0.10101,0.043,-0.0268629
0.10101,0.044,-0.00313395
0.10101,0.045,-0.000271976
0.10101,0.046,-1.69277e-05
0.10101,0.047,-7.15256e-07
0.10101,0.048,0
0.10101,0.049,0
0.10101,0.05,0
0.10101,0.051,0
0.10101,0.052,0
0.10101,0.053,0
0.10101,0.054,0
0.10101,0.055,-8.9407e-07
0.10101,0.056,2.28882e-05
0.10101,0.057,-0.000394404
0.10101,0.058,0.00471318
0.10101,0.059,-0.036796
0.10101,0.06,0.156424
0.10101,0.061,-0.197953
0.10101,0.062,0.322575
0.10101,0.063,0.0417572
0.10101,0.064,0.0067286
0.10101,0.065,0.000769817
0.10101,0.066,6.11657e-05
0.10101,0.067,3.43674e-06
0.10101,0.068,1.35938e-07
0.10101,0.069,3.63131e-09
0.10101,0.07,5.90248e-11
0.10101,0.071,4.41303e-13
0.10101,0.072,0
0.10101,0.073,0
0.10101,0.074,0
0.10101,0.075,0
0.10101,0.076,0
0.10101,0.077,0
0.10101,0.078,0
0.10101,0.079,0
0.10101,0.08,0
0.10101,0.081,0
0.10101,0.082,0
0.10101,0.083,0
0.10101,0.084,0
0.10101,0.085,0
0.10101,0.086,0
0.10101,0.087,0
0.10101,0.088,0
0.10101,0.089,0
0.10101,0.09,0
0.10101,0.091,0
0.10101,0.092,0
0.10101,0.093,0
0.10101,0.094,0
0.10101,0.095,0
0.10101,0.096,0
0.10101,0.097,0
0.10101,0.098,0
0.10101,0.099,0
0.10101,0.1,0
0.111111,0.001,0
0.111111,0.002,0
0.111111,0.003,0
0.111111,0.004,0
0.111111,0.005,0
0.111111,0.006,0
0.111111,0.007,0
0.111111,0.008,0
0.111111,0.009,0
0.111111,0.01,0
0.111111,0.011,0
0.111111,0.012,0
0.111111,0.013,0
0.111111,0.014,0
0.111111,0.015,0
0.111111,0.016,0
0.111111,0.017,0
0.111111,0.018,0
0.111111,0.019,0
0.111111,0.02,0
0.111111,0.021,0
0.111111,0.022,0
0.111111,0.023,0
0.111111,0.024,0
0.111111,0.025,0
0.111111,0.026,0
0.111111,0.027,0
0.111111,0.028,0
0.111111,0.029,1.48112e-19
0.111111,0.03,-6.68952e-17
